Tissue,Average_RMA,Transporter
seminal vesicle,2.19628,SLC22A9
lung,2.161780877,SLC22A9
liver,4.625,SLC22A10
kidney,3.265,SLC22A10
prefrontal cortex,2.41047,SLC22A10
heart,2.355,SLC22A10
prostate gland,2.27,SLC22A10
brain,2.005,SLC22A10
lung,1.94,SLC22A10
pancreas,1.61,SLC22A10
spinal cord,1.195,SLC22A10
spleen,1.1,SLC22A10
placenta,8.235421,SLC22A11
kidney,7.893665354,SLC22A11
heart,5.315747292,SLC22A11
pancreas,3.024298095,SLC22A11
spinal cord,2.871723529,SLC22A11
adrenal gland,2.76385625,SLC22A11
spleen,2.746976533,SLC22A11
thyroid gland,2.665378889,SLC22A11
stomach,2.5682025,SLC22A11
prostate gland,2.547084867,SLC22A11
liver,2.538102041,SLC22A11
brain,2.503806051,SLC22A11
lung,2.447150846,SLC22A11
skin,2.426926383,SLC22A11
cardia,2.424116667,SLC22A11
colon,2.342143889,SLC22A11
spermatozoon,2.331506,SLC22A11
hair follicle,2.319523333,SLC22A11
esophagus,2.31909,SLC22A11
aorta,2.31909,SLC22A11
salivary gland,2.31909,SLC22A11
uterine cervix,2.310742857,SLC22A11
lymph node,2.31073,SLC22A11
myometrium,2.300349355,SLC22A11
prefrontal cortex,2.299504512,SLC22A11
pancreatic islet,2.28635,SLC22A11
tonsil,2.2798025,SLC22A11
cervical epithelium,2.272741364,SLC22A11
uterus,2.27174,SLC22A11
cerebral cortex,2.268357586,SLC22A11
urinary bladder,2.2556945,SLC22A11
testis,2.235462564,SLC22A11
seminal vesicle,2.19628,SLC22A11
kidney,8.237865238,SLC22A12
heart,5.987681667,SLC22A12
pancreatic islet,4.13298,SLC22A12
pancreas,3.484274667,SLC22A12
placenta,3.211821429,SLC22A12
spinal cord,3.178213636,SLC22A12
spleen,2.983935385,SLC22A12
adrenal gland,2.981876667,SLC22A12
salivary gland,2.944444,SLC22A12
brain,2.89909775,SLC22A12
spermatozoon,2.82971,SLC22A12
uterus,2.63035,SLC22A12
aorta,2.63035,SLC22A12
cardia,2.63035,SLC22A12
liver,2.610637288,SLC22A12
thyroid gland,2.589168,SLC22A12
cerebral cortex,2.578428621,SLC22A12
colon,2.574814667,SLC22A12
uterine cervix,2.5691425,SLC22A12
tonsil,2.540135,SLC22A12
esophagus,2.52114,SLC22A12
lymph node,2.49701,SLC22A12
myometrium,2.490531081,SLC22A12
stomach,2.45206,SLC22A12
prostate gland,2.44227625,SLC22A12
prefrontal cortex,2.430097674,SLC22A12
skin,2.415340538,SLC22A12
lung,2.386724561,SLC22A12
urinary bladder,2.37581625,SLC22A12
testis,2.355462,SLC22A12
seminal vesicle,2.19628,SLC22A12
heart,4.901070667,SLC22A13
kidney,3.458464028,SLC22A13
prefrontal cortex,2.884726398,SLC22A13
pancreas,2.684993,SLC22A13
adrenal gland,2.558359,SLC22A13
stomach,2.5344525,SLC22A13
spleen,2.5093528,SLC22A13
liver,2.368052828,SLC22A13
skin,2.366464339,SLC22A13
colon,2.337736389,SLC22A13
brain,2.330046269,SLC22A13
spermatozoon,2.32872,SLC22A13
spinal cord,2.321400588,SLC22A13
esophagus,2.31909,SLC22A13
aorta,2.31909,SLC22A13
cardia,2.31909,SLC22A13
hair follicle,2.310051667,SLC22A13
prostate gland,2.305061059,SLC22A13
lymph node,2.299196667,SLC22A13
salivary gland,2.295303333,SLC22A13
pancreatic islet,2.291981429,SLC22A13
uterine cervix,2.280125714,SLC22A13
tonsil,2.2798025,SLC22A13
placenta,2.273926393,SLC22A13
thyroid gland,2.271086429,SLC22A13
